,title,department,location,employment_type,review_star,review_number,salary_value,salary_unit,state,description,annual_salary
309,data risk consultant,pwc,sydney nsw,,4.0,6807.0,90000.0,year,nsw,"line of service assurance industry/sector not applicable specialism data and analytics technologies management level senior associate job description & summary with pwc, you’ll ignite a meaningful career while being supported by a flexible working culture, innovative learning and development opportunities and progressive policies and benefits, such as 18 weeks paid parental leave for mums, dads and foster carers (no minimum service!) what will you create? you’ll help australian businesses, not-for-profits and governments create value and improve the way they work. from digitising healthcare, to creating smarter cities and igniting our start-up industry, together we build trust in society and solve important problems. risk assurance bring this to life by helping clients to protect and strengthen every aspect of their business; from people to performance, systems to strategy and business plans to business resilience. as a data risk consultant in our digital trust team your impact will be seen by: transforming how our clients govern data by advising and educating them on leading data management processes and operations providing assurance to leading organisations on whether their data needs are being met by identifying and managing risks and compliance issues helping to bridge the data ‘trust gap’ by validating and testing client reports that are submitted to regulatory bodies protecting data assets through the design and reviewal of clients’ automated and data driven controls about you you have a background in data advisory and are skilled on how to leverage the principles and tools supporting data governance and data management. you hold an understanding of how to effectively improve process efficiencies and develop new business opportunities. passionate about being at the forefront of change, you’re ready to help our risk assurance team transform how risk is perceived and capitalised on. you’re collaborative and enjoy working in an innovative environment. you’re a problem solver by nature and want to join a firm that values the kind of people who reimagine the possible for their clients and stakeholders. most importantly, you act with integrity and show care for the people you work with. life at pwc our culture and benefits are something we’re proud of, and also the reason we’ve been named linkedin’s #1 australian workplace. with pwc, you’ll belong to an inclusive community where differences are both embraced and the underlying driver in everything we create together. we empower you with the technology, coaching, flexibility and trust needed to make a meaningful difference, while supporting you in bringing your whole self to work each day. we’re committed to building and maintaining a diverse workforce because we know it’s only by working together that we can realise the potential of our people, clients and society around us. we’re living this commitment through initiatives including our reconciliation action plan to increase indigenous employment and employee-led diversity networks promoting cultural, disability, lgbti and gender equality. at our core we’re a people business, which means you’ll be supported not just in your professional development but your personal growth as well. eliza wearn is the recruitment manager for the role. as the team experience high volumes of applications, we appreciate your patience to allow for a timely and fair process for all. we welcome the opportunity to speak to candidates about our value proposition and recognition and reward approach. the minimum full time salary for this role is $90,000 including 9.5% superannuation, however will be determined based on the skills and experience that the candidate brings. #li-pwclmt education (if blank, degree and/or field of study not specified) degrees/field of study required: degrees/field of study preferred: certifications (if blank, certifications not specified) desired languages (if blank, desired languages not specified) travel requirements not specified available for work visa sponsorship? yes government clearance required? no job posting end date",90000.0
310,adminstration assistant,,prestons nsw,casual,,,,,nsw,"we have a position open for a company who have relocated to prestons.this company runs a large warehouse and is looking for an administration assistant.the successful candidate will be working monday – friday – 38hours,this is a long term position, and could lead to full-time.there will be data entry into their database, excel, word as well as general filing, receptionist duties, internet research and other related office administration duties.to be successful:- you must have administration experience- effecient in using microsoft office- experience in accounts receivable and payable.above award wages.an immediate start is available for the right person.if you have any questions about this position please call 0459 035 979job type: casualexperience:microsoft office: 3 years (required)data entry: 2 years (required)accounts receivable: 2 years (required)administrative assistant: 3 years (required)",
311,student internship program 2020 - urban planning,urbis,brisbane qld,"internship, casual",4.0,10.0,,,qld,"urban planning – student internship program 2020 kickstart your career in a multidisciplinary professional services firm collaborate with authentic market leaders and industry experts casual opportunities offering 2-4 days per week, commencing in february 2020 who we are urbis is a market-leading firm that shapes the cities and communities of australia for a better future. drawing together a network of the brightest minds, urbis consists of practice experts, working collaboratively to deliver fresh thinking and independent advice and guidance – all backed up by real, evidence-based solutions. working across the areas of planning, design, policy, heritage, valuations, transactions, economics and research, the expert team at urbis connect their clients in the public and private sectors to a better outcome, every time. our student internship program our student internship program offers exclusive opportunities for the brightest students to gain invaluable experience and broad exposure to our business and related industries. as part of our student internship program, you will learn from mentors, work with our clients, access our learning resources and be exposed to fantastic networking opportunities. our annual program will run from february to december 2020 and will enable you to graduate with the distinct advantage of industry experience over your peers. our student roles offer flexibility in the form of 2-4 days per week, in order to complement your studies. what about this opportunity? our business unit team has openings for students in our brisbane office, on a paid casual basis. we work on projects of all sizes, with a well-deserved reputation as experts in strategic planning and master planning for cities, communities, business parks, mixed-use developments and activity centres. as an assistant planner you can expect to be involved in: contributing input into the provision of a range of services including advice relating to land use, development capability, due diligence assessments, masterplans, the approval process and management; creating and developing documents and reports based upon project requirements; assisting in the preparation of documentation for pre-lodgement meetings/client meetings; carrying out of research and conducting site visits; and providing support to planning team in servicing client requirements, as directed about you you will be an undergraduate or post-graduate student, undertaking studies in a relevant field, who is hardworking, passionate and a great fit for our spirited, collaborative culture at urbis. we are looking for enthusiastic students who possess a combination of the following technical skills, attributes and competencies: an understanding of statutory planning frameworks, controls and processes; ability to adopt a logical approach to problem solving and make objective and informed recommendations; ability to synthesise and interpret data from a range of sources; excellent verbal and written communication skills; and flexibility and adaptability to changing work demands the application process if you’re keen to join our student internship program, click on ‘apply’ and submit your application. in addition to your cv, please attach a cover letter (one page maximum) addressing the following questions: why do you want to join urbis? what are you passionate about in your selected discipline? if you had to select one urbis project (past or present) that you would like to work on, what would it be and why? we also request that you submit your most recent academic transcripts with your application. you may also wish to submit a copy of your portfolio or work examples, but this is optional. for further information or queries, contact michelle scott by email on mscott@urbis.com.au applications close at 5:00pm on friday 13 september 2019. shortlisted applicants will be invited to an information night in early october, with interviews to follow in mid-late october 2019. urbis is committed to fostering a work environment that is inclusive, supports flexibility, and welcomes diversity.",
312,retail administration assistant,,north fitzroy vic,,,,,,vic,"job summarya leading and reputable ladies fashion wholesaler is on the lookout for an administration assistant to join their retail and online dispatch team.this is an exciting opportunity for the right candidate to hit the ground running in a busy fashion environment. we are looking for a talented, friendly, hardworking team player who is able to multi-task and yet maintain a smile at all times!main job tasks and responsibilities: general admin & receptionist dutiespicking and dispatching online ordersdata entryorganising & ordering stationaryfiling & other ad hoc dutiesrequired experience, skills and qualificationswhat we’re looking for: great verbal and written communication skillscustomer service experienceattention to detailintermediate computer skillsa \'can do\' attitudeability to work in a team & autonomouslyability to work under pressureyou must have a valid working visa to apply.job type and categoryyou will be working in the fashion industry and assisting our retail team!note: only shortlisted candidates will be contacted.job type: full-timecompany profilecaroline k morgan (aust) pty ltd.job type: full-time",
313,intern data scientist,,sydney nsw,internship,,,42000.0,year,nsw,"job descriptionthe employee’s duties and responsibilities are as follows:to provide technical consulting services to clients, and/or internal clients as directedto support the business through attendance at events and training activities as directedto maintain their technical skills in line with market developmentsto act in a professional manner and in the best interest of clients at all times.required skills/knowledge1 + year applied machine learning, optimisation and/or statistics experience, including internships, projects etcstrong python or r programming experience and related data science libraries (such as scikit-learn, pandas, tensorflow/keras)have experience or are comfortable extracting data from sql databases and using code versioning (e.g., git)basic software engineering principlesexperience with data visualisation tools or frameworks i.e. tableau, d3.js, ggplot2 etcdesired experience/business skillsknowledge or experience of software engineering practicesknowledge or experience on time series/product forecasting/recommender systemsknowledge of deep learning/neural networksexperience working with web development technologiesexperience working with cloud technologies i.e. aws / microsoft / google cloudqualificationsstudying a computer science, robotics, maths, statistics, physics or related university degree (graduated bachelors, msc, phd or last year msc/phd student)this scholarship amounts to $38,000 tax-free for an undergraduate student and $42,000 tax-free for a postgraduate student, working 12 months full-time at 38 hours a week.just letting you know, the minimum requirements to be eligible for internships/scholarships with acs foundation as the amount paid is tax-free, you\'ll need to be: australian citizen or permanent resident currently studying and have completed at least one year of a it/ict/business related degree at an australian universitymust be enrolled at an australian university during the entire length of the internshipjob types: full-time, internshipsalary: $42,000.00 /yearexperience:data science: 1 year (preferred)education:bachelor degree (preferred)location:sydney nsw (preferred)work eligibility:the candidate can work permanently with no restriction on hours (preferred)",42000.0
314,data management officer,university of new south wales,sydney nsw,contract,4.3,87.0,83590.0,year,nsw,"job no: 497614 work type: fixed term / full time location: sydney, nsw categories: administration, research administration support at unsw, we pride ourselves on being a workplace where the best people come to do their best work. unsw medicine is a national leader in learning, teaching and research, with close affiliations to a number of australia’s finest hospitals, research institutes and health care organisations. with a strong presence at unsw kensington campus, the faculty have staff and students in teaching hospitals in sydney as well as regional and rural areas of nsw including albury/wodonga, wagga wagga, coffs harbour and port macquarie. the centre for big data research in health (cbdrh) aims to improve the health of the population through research using large-scale electronic data that integrates information about biology, clinical care, health services and the social and physical environments the cbdrh is in a rapid growth phase at present. there are currently around 30 academic staff, 7 professional staff members and 12 hdr students. the australian and new zealand neonatal network (anznn) is a collaborative network that monitors the care of high-risk newborn infants by pooling data to provide quality assurance for this resource consuming care. the network was established in 1994 under the recommendation of the national health and research council\'s (nhmrc) expert panel on perinatal morbidity. since its establishment the network has developed a minimum data set and implemented a data collection that monitors the mortality and morbidity of infants admitted to neonatal intensive care units across australia and new zealand. the anznn is hosted under a memorandum of understanding at the national perinatal and statistics unit (npesu) within the school of women’s and children’s health at the faculty of medicine, and the centre for big data research in health (cbdrh). about the role 1-year fixed-term, full-time contract (35 hrs per week) possible extension on the contract dependant on funding $74,338 - $92,842 (plus 9.5% superannuation and leave loading) the role of data management officer will assist in the management of the australian and new zealand neonatal network datasets and work together with the other members of the anznn team. the data management officer will be responsible for: development and execution of data cleaning and data management processes; managing data submissions from member units and liaising with data providers; maintaining data dictionaries and data submission portals; management of research data; and management of clinical trial data submitted through the anznn. please review the attached position description for more details on the role requirements. about the successful applicant to be successful in this role you will have: undergraduate degree in health information, statistics, epidemiology, public health or a relevant discipline or an equivalent level of knowledge gained through any other combination of education, training and/or experience. previous experience working in the health sector or in clinical audit will be highly regarded. demonstrated high level database application skills (eg. ms excel, sql server). previous experience in statistical analysis applications (eg. r, sas, spss, stata) will be highly regarded. experience with data analysis and preparation of reports, with preferred sound analytical, evaluation and/or applied research skills using large datasets. high level of organisational skills, with the ability to prioritise workloads and meet deadlines while maintaining a high level of attention to detail. demonstrated problem solving skills with ability to address database issues. excellent communication and interpersonal skills, with ability to work independently as well as in a team environment. ability to maintain confidentiality and discretion when dealing with sensitive and confidential information. knowledge of health and safety responsibilities and commitment to attending relevant health and safety training. previous experience working in health sector or clinical audit. extensive experience managing large databases. experience managing large clinical registries or large clinical trials will be highly regarded. demonstrated knowledge and extensive experience in statistical and/or database analysis applications (eg. sql server, r, sas, spss, stata). experience in programming automated processes will be highly regarded. experience in undertaking descriptive data analysis of large datasets based on sound analytical and research skills and preparation of health/medical related reports. you should systematically address the selection criteria from the position description in your application.  00076171 - data management officer l5-6 cbdrh pd.pdf please apply online - applications will not be accepted if sent to the contact listed. contact: sharon chow - anznn operations manager e: sharon.chow@unsw.edu.au applications close: 11pm on sunday 15th september 2019 find out more about working at unsw at https://med.unsw.edu.au/ unsw is an equal opportunity employer committed to diversity position description advertised: 16 aug 2019 aus eastern standard time applications close: 15 sep 2019 aus eastern standard time",83590.0
315,flight control engineer,,melbourne vic,,,,,,vic,"we’re currently looking for a flight control engineer to join our team at our office in melbourne, australia! our planet’s survival depends on a sustainable energy future. existing technologies create progress towards this goal, but to accelerate the energy transition we must unlock additional sustainable energy sources. ampyx power is developing an airborne wind energy system (awes) that can access powerful wind at high altitude using tethered unmanned aircraft. do you want to use your unique skills to help us in developing pioneering sustainable energy technology? join us, and be part of our adventure! introducing our team and culture we believe that a diversity of perspectives, ideas, cultures, and common passion to make a difference is needed to develop our pioneering technology. today we have a team of about 50 highly skilled professionals with more than 20 nationalities working from the hague and melbourne. we will be opening another office in ireland in the near future. most of our employees have a university degree and several employees have phd background. we have a socially open atmosphere in our company, placing value on trust. we think in terms of solutions rather than problems. we challenge each other and act decisively in our day-to-day work. everyone\'s input is valuable and we work with clear deadlines and objectives. this way of working has helped us to make significant steps in our airborne technology development over the past 10 years. what are you going to do? we work in teams to meet our milestones. these are examples of the teams that we have: electronics team, aircraft design team, mechatronics team, the flight operations team, etc. this vacancy is within our algorithms team. within our company, algorithm engineers generate simulink models of the complete system and use these to aid in design and analysis. the core algorithms are translated into embedded production code by means of an autocoder. as such, the flight control engineer will gain good knowledge of both control systems and algorithms design, as well as basic software engineering principles. as our new flight control engineer, you will work on: supporting the development and verification of computational algorithms for our systems. supporting system modelling, including 6-dof and flexible body models sensor modelling, such as inertial measurement units, air data, gnss model validation, including comparisons with characterization data supporting control algorithm development, including analysis and tuning of control laws logic-based algorithm development, including health monitoring and complex decision chains supporting system analysis tasks, including simulations supporting system verification, including generation of test cases what do we need from you to complement the team? we are looking for an aerospace engineering graduate (higher degrees preferable) with some industry experience in a related discipline gained during studies or in the first years after graduation. you work efficiently in a team and support your colleagues, proactively pick tasks and take ownership, and be willing to take part in flight testing campaigns. you have a desire to learn new skills, as well as contribute to and follow development processes. you have good english writing skills to assist in the production of technical documentation. you should have at least theoretical knowledge of: aircraft flight dynamics control system design matlab/simulink what do we have to offer? we offer you an opportunity to contribute to a sustainable energy future. you will be working on a unique innovation using state-of-the-art technologies in an international team of enthusiastic professionals. together, we will be launching our airborne wind energy technology on the market in the next few years. you can look forward to: a personalized work-life balance; flexible working hours; 20 leave days every year; excellent opportunities for growth via our personal development plan; excellent opportunities to take initiative and responsibility; working together with a team of professionals of top international status; shares in the company as all employees are shareholder; where can you find us? ampyx power australia is located in the melbourne cbd. our main office is located in the hague in the netherlands. questions? if you have questions about the company or processes, please send an email to layla@ampyxpower.com. if you have more specific, technical questions, please contact paul williams, manager algorithms team via paul@ampyxpower.com. final request as we are looking for a flight control engineer with the right skills, we would like to ask you to send us the following documents with your application: a cv, written in english; a motivation letter, written in english; agency calls are not appreciated.",
316,rmitonline - data and privacy in the digital age (gc level) efacilitator,curio academy,melbourne vic,"contract, casual",,,55.0,hour,vic,"part of the curio group pty ltd, academy is a professional education services business.about academy· we provide quality education services to universities, vocational education providers, other higher education providers, and corporate.· we are passionate educators who believe in the power expert facilitation to ensure a successful online learning experience.· we are seeking educators with a passion for online education to work with us on delivering an intensive10-week online course in data and privacy in the digital agefor a leading australian university.· the total engagement is 12 weeks which includes orientation week, 10 weeks teaching and 1 final week to mark final assessments.· key dates:facilitator on-boarding start: 23rd septemberweek 0 start: 30th septemberweek 1 start: 7th octoberconsolidation week: 11th – 17th novemberlast day of teaching: friday 20th decembercourse descriptionin this course, you will develop an advanced understanding of the key principles of australian and international privacy laws. you will comprehend the value of personal and commercial data in an increasingly connected world and examine the obligations of organisations in relation to the collection, storage and use of customer data. you’ll critically examine the legal, security and privacy issues that arise from the collection, storage and usage of such data and examine the response required from organisations in the event of a data breach. the ethical, social and regulatory implications of key privacy and data topics will be examined, while technology solutions for greater transparency, privacy and security will be explored.objectives/learning outcomes/capability development:upon successful completion of this course you will be able to:clo1 examine the value of personal data to emerging technologies and the ways personal data is constrained and protected by australian and international law.clo2 analyse and explain the business and organisational responsibilities for the collection, access, sharing and storage of personal data under australian and international privacy laws and regulations.clo3 critically examine the ways data collection, storage, sharing and access of emerging technologies outpaces current laws and regulations.clo4 develop ethical and sustainable legal frameworks and policies to manage the access, sharing and storage of data under australian and key international privacy laws and regulations.clo5 recommend emerging technology solutions to improve the privacy and transparency of data use, sharing and storage.overview of learning activitiesthis course uses highly structured learning activities to guide your learning process and prepare you for your assessments. the activities are a combination of individual, peer-supported and facilitator-guided activities, and where possible project-led, with opportunities for feedback throughout.authentic and industry-relevant learning is critical to this course and you will be encouraged to critically compare and contrast what is happening in your context and in industry, and to use your insights.social learning is another important component and you are expected to participate in class and group activities, share drafts of work and resources and give and receive peer feedback. you will be expected to work efficiently and effectively with others to achieve outcomes greater than those that you might have achieved alone.the learning activities enable you to understand course learning resources and apply that learning to improve your own practice, for example by producing real-world artefacts and engaging in scenarios and case studies.about the role:this is an intensive learning experience for the students and the tutor and you will be provided with a great deal of support from academy and our client in order to deliver a great student experience.you must be entitled to live and work in australia (permanent residency), but can be located anywhere in the world. it is online after all!job types: contract, casualsalary: $55.00 to $65.00 /hourexperience:subject matter online teaching: 1 year (preferred)education:masters degree (preferred)",110000.0
317,data engineer - financial crime,pwc,sydney nsw,,4.0,,,,nsw,"line of service advisory industry/sector not applicable specialism risk management level manager job description & summary with pwc, you’ll ignite a meaningful career while being supported by a flexible working culture, innovative learning and development opportunities and progressive policies and benefits, such as 18 weeks paid parental leave for mums, dads and foster carers (no minimum service!) what will you create? you’ll help australian businesses, not-for-profits and governments create value and improve the way they work. from digitising healthcare, to creating smarter cities and igniting our start-up industry, together we build trust in society and solve important problems. consulting bring this to life by helping clients improve the way they operate, reduce costs, manage risks, leverage talent, or fundamentally change the way they do business. your work here will help organisations of all shapes and sizes work smarter and grow faster. as a data engineer in our risk consulting team your impact will be seen by: extracting, transforming and loading financial information into data analytics platforms performing data cleansing, mining and modelling for fraud and corruption risk identification and analysis conducting fraud and corruption investigations under the direction of senior accountants and investigators to assist clients in crisis identifying key risks and deficiencies within client organisations through assessments and provide strategies to overcome these about you you have a background in data engineering or analytics and are skilled in using one or more of the following platforms sql, python or r as well as project management and problem solving and hold an understanding of how to communicate with impact and networking with both internal and external clients, being agile in changing circumstances when resolving client issues and enjoy working as part of a fun, collaborative team open to new ideas and innovation. passionate about being at the forefront of change, you’re ready to help our consulting team deliver practical advice that speaks straight to the heart of client business issues and deliver innovative results. you’re collaborative and enjoy working in an innovative environment. you’re a problem solver by nature and want to join a firm that values the kind of people who reimagine the possible for their clients and stakeholders. most importantly, you act with integrity and show care for the people you work with. life at pwc our culture and benefits are something we’re proud of, and also the reason we’ve been named linkedin’s #1 australian workplace. with pwc, you’ll belong to an inclusive community where differences are both embraced and the underlying driver in everything we create together. we empower you with the technology, coaching, flexibility and trust needed to make a meaningful difference, while supporting you in bringing your whole self to work each day. we’re committed to building and maintaining a diverse workforce because we know it’s only by working together that we can realise the potential of our people, clients and society around us. we’re living this commitment through initiatives including our reconciliation action plan to increase indigenous employment and employee-led diversity networks promoting cultural, disability, lgbti and gender equality. at our core we’re a people business, which means you’ll be supported not just in your professional development but your personal growth as well. sanchit malhotra is the recruitment manager for the role. as the team experience high volumes of applications, we appreciate your patience to allow for a timely and fair process for all. #li-pwclmt education (if blank, degree and/or field of study not specified) degrees/field of study required: degrees/field of study preferred: certifications (if blank, certifications not specified) desired languages (if blank, desired languages not specified) travel requirements available for work visa sponsorship? government clearance required? job posting end date",
318,test invigilator / administrator - canberra,pearson,canberra act,,3.8,1948.0,26.75,hour,act,"**description** pearson vue (www.pearsonvue.com) is the global leader in computer-based testing for information technology, academic, government and professional testing programs around the world. pearson vue provides a full suite of services from test development to data management, and delivers exams through the world’s most comprehensive and secure network of test centres in more than 180 countries, where we validate the skills and knowledge of millions of individuals every year.pearson vue is a business of pearson, the world\'s leading learning company with global-reach and market-leading businesses. pearson is listed on both the london and new york stock exchanges (uk: pson; nyse: pso). pearson vue offers a great environment to start or grow your career, we are now hiring for **permanent part time test centre administrators** to join our team based in **canberra** . **working arrangements** + permanent, part time position, for a minimum 15 hours per week + the centre may open monday - sunday, 7:00am - 11:00pm, these roles will primarily work 7.5 hour shifts 7:00am - 3:00pm + you will be required to work a variety of days and specific shifts cannot be specified.we will endeavour to let you know your work pattern 2 to 4 weeks in advance. + a flexible approach to working is essential for this position as opening hours can vary according to business need + hourly rate - $26.75 per hour **role** the appointed individual will perform the administration and invigilation of exams; this includes understanding, implementing and taking ownership of all aspects of the operational policies and procedures of all examination processes. the individual will also demonstrate a high level of customer service to candidates and be responsible for the continual enhancement of the brand image. **key responsibilities** + provide a high level of customer service at all times. + ensure candidates’ needs are met with understanding and respect. + ensure equipment is operational and test stations are in working order to deliver testing. + process candidates’ sign-in (including verification of candidate identity) according to pearson vue and client procedures. + explain the test process to candidates and deal with other queries as required. + ensure the integrity and security of tests are maintained and that they are supervised/invigilated to the required standard. + print and provide post-test score reports to candidates as required. + periodic download and review of examinations and test centre schedules. + review test schedule and ensure the preparation for candidates (including those with special needs) is made. + understand the testing needs and procedures for every pearson vue client and have the capability to adjust approach accordingly. + ensure all compliance standards relating to the test centre operation and pearson vue stringent security protocols are adhered to. + perform daily test centre opening and closing procedures. + comply with business needs on a day to day basis and undertake reasonable additional duties to ensure the smooth running of the test centre. + liaise with pearson vue technical support staff to investigate and resolve technical issues. + undertake all accreditations and skills checks as required by the business. + help to ensure a clean, professional, quiet testing atmosphere in the centre. + support and deliver any events and alternative test delivery processes as defined, both in permanent and temporary locations. + you will be based in one of the pearson vue test centres but some local travel to other ppc’s or temporary locations may be required. + a flexible approach to working is essential for this position as opening hours and days may vary according to the volume of tests booked. **qualifications** + good face-to-face communication skills with experience in a customer facing role + strong attention to detail + able to work independently as well as part of a team + must enjoy working with people, be comfortable in a quiet environment and have effective time management skills + pc literate, comfort with the use of a full range of microsoft office and windows applications + ability to deal with conflict and work under pressure + experience in a testing/invigilating environment is desirable but not essential **primary location: ** au-act-canberra **job: ** testing center **organization: ** assessments vue **employee status: ** regular employee **job type: ** standard **shift: ** day job **job posting: ** aug 16, 2019 **job unposting: ** ongoing **schedule: ** part-time regular **req id: ** 1910127 pearson is an equal opportunity and affirmative action employer and a member of e-verify. all qualified applicants, including minorities, women, protected veterans, and individuals with disabilities are encouraged to apply.",53500.0
